Id,Label,soc_major,soc_group,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree
25-4012.00,Curators,25,Education,2,10,0.293014,0.340726,0.010031,13
25-4013.00,Museum Technicians and Conservators,25,Education,12,10,0.245395,0.271507,0,1
25-4022.00,Librarians and Media Collections Specialists,25,Education,2,9,0.271746,0.308038,0.000011,5
25-9021.00,Farm and Home Management Educators,25,Education,2,10,0.302,0.351338,0.003982,8
25-9031.00,Instructional Coordinators,25,Education,6,9,0.334812,0.42061,0.033552,45
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",25,Education,6,9,0.291881,0.342918,0.007025,13
25-9043.00,"Teaching Assistants, Special Education",25,Education,6,9,0.297439,0.355032,0.000559,21
25-9044.00,"Teaching Assistants, Postsecondary",25,Education,6,10,0.277064,0.324348,0.000013,10
27-1011.00,Art Directors,27,Arts & Media,2,10,0.274545,0.321276,0.009963,13
27-1022.00,Fashion Designers,27,Arts & Media,2,11,0.251248,0.293358,0.00059,9
27-1024.00,Graphic Designers,27,Arts & Media,2,10,0.254066,0.285391,0.000184,4
27-1025.00,Interior Designers,27,Arts & Media,0,10,0.239303,0.268154,0.000296,2
27-1026.00,Merchandise Displayers and Window Trimmers,27,Arts & Media,2,12,0.179833,0.195265,0.003299,2
27-1027.00,Set and Exhibit Designers,27,Arts & Media,2,11,0.215509,0.236042,0,1
27-2011.00,Actors,27,Arts & Media,6,10,0.238672,0.267397,0,1
27-2012.00,Producers and Directors,27,Arts & Media,0,10,0.24513,0.282918,0.000349,9
27-2012.03,Media Programming Directors,27,Arts & Media,0,11,0.217266,0.244145,0,2
27-2012.04,Talent Directors,27,Arts & Media,2,9,0.302403,0.353686,0.001475,14
27-2022.00,Coaches and Scouts,27,Arts & Media,6,10,0.268047,0.312083,0.000809,8
27-2023.00,"Umpires, Referees, and Other Sports Officials",27,Arts & Media,12,9,0.267572,0.301983,0.00004,3
27-2031.00,Dancers,27,Arts & Media,6,9,0.265067,0.304766,0.000025,6
27-2032.00,Choreographers,27,Arts & Media,6,10,0.26414,0.309555,0.000099,8
27-2041.00,Music Directors and Composers,27,Arts & Media,2,9,0.296466,0.350249,0.003898,17
27-2042.00,Musicians and Singers,27,Arts & Media,12,9,0.271257,0.301337,0.000424,4
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,27,Arts & Media,14,10,0.192031,0.205968,0,1
