Source,Target,Weight
13-1041.08,13-1075.00,0.9503
13-1041.08,13-1141.00,0.9513
13-1041.08,13-2011.00,0.9736
13-1041.08,13-2053.00,0.977
13-1041.08,13-2072.00,0.9656
13-1041.08,13-2099.04,0.9695
13-1041.08,25-4022.00,0.9541
13-1041.08,25-9031.00,0.9526
13-1041.08,41-3031.00,0.9526
13-1041.08,43-3061.00,0.9531
13-1041.08,43-4011.00,0.965
13-1041.08,43-4041.00,0.9501
13-1051.00,13-2031.00,0.9718
13-1051.00,13-2052.00,0.9619
13-1071.00,13-1075.00,0.9613
13-1071.00,13-2011.00,0.9539
13-1071.00,13-2053.00,0.9559
13-1071.00,13-2072.00,0.953
13-1071.00,13-2099.04,0.9549
13-1071.00,19-3033.00,0.9527
13-1071.00,19-3039.03,0.951
13-1071.00,21-1011.00,0.9599
13-1071.00,21-1012.00,0.9648
13-1071.00,21-1094.00,0.9654
13-1071.00,23-1011.00,0.9538
13-1071.00,23-1012.00,0.9504
13-1071.00,23-1021.00,0.9592
13-1071.00,25-2051.00,0.9531
13-1071.00,25-3031.00,0.9503
13-1071.00,25-4022.00,0.9601
13-1071.00,25-9031.00,0.9503
13-1071.00,27-2012.04,0.9552
13-1071.00,27-3023.00,0.9635
13-1071.00,27-3043.00,0.9539
13-1071.00,27-3091.00,0.9577
13-1071.00,43-4021.00,0.9571
13-1071.00,43-4031.00,0.959
13-1071.00,43-4041.00,0.9615
13-1071.00,43-4061.00,0.9505
13-1071.00,43-4111.00,0.9522
13-1071.00,43-4161.00,0.9657
13-1071.00,43-6011.00,0.9694
13-1075.00,13-1131.00,0.9715
13-1075.00,13-2053.00,0.9609
13-1075.00,13-2071.00,0.9626
13-1075.00,13-2099.04,0.9601
13-1075.00,19-3034.00,0.9528
13-1075.00,21-1011.00,0.9572
13-1075.00,21-1012.00,0.9653
13-1075.00,21-1094.00,0.9525
13-1075.00,21-2011.00,0.9579
13-1075.00,23-1011.00,0.9836
13-1075.00,23-1021.00,0.9629
13-1075.00,23-1022.00,0.9691
13-1075.00,27-2012.04,0.9639
13-1075.00,27-2041.00,0.9633
13-1075.00,27-3031.00,0.9644
13-1075.00,41-4011.07,0.9504
13-1075.00,41-4012.00,0.9634
13-1075.00,41-9022.00,0.9504
13-1075.00,43-4061.00,0.9503
13-1075.00,43-4111.00,0.954
13-1075.00,43-4161.00,0.9548
13-1075.00,43-9041.00,0.9531
13-1081.00,13-1081.02,0.9535
13-1081.00,13-1111.00,0.9679
